datetime,open,high,low,close,volume
2011-06-16,10550.65,10706.0,10502.4,10572.15,0.0
2011-06-23,10453.1,10553.35,10421.65,10526.45,0.0
2011-06-30,11183.25,11271.35,11149.2,11244.65,0.0
2011-07-07,11298.0,11446.55,11232.15,11426.1,0.0
2011-07-14,11121.4,11385.35,11072.5,11263.8,0.0
2011-07-21,11159.1,11193.05,11021.7,11049.8,0.0
2011-07-28,10902.6,10954.25,10799.85,10828.5,0.0
2011-08-04,10682.45,10765.95,10515.05,10537.05,0.0
2011-08-11,10419.4,10516.9,10323.5,10338.79,0.0
2011-08-18,9987.6,10002.29,9564.95,9601.5,0.0
2011-08-25,9393.35,9401.15,9134.95,9177.25,0.0
2011-08-30,9466.29,9565.29,9355.15,9533.4,0.0
2011-09-08,9888.54,9940.25,9749.2,9920.04,0.0
2011-09-15,9569.35,9708.79,9390.1,9660.35,0.0
2011-09-22,9756.2,9756.2,9489.7,9520.6,0.0
2011-09-29,9467.54,9688.65,9406.35,9653.4,0.0
2011-10-05,8930.75,8991.79,8626.45,8701.29,0.0
2011-10-13,9594.0,9685.04,9547.1,9591.25,0.0
2011-10-20,9722.85,9763.79,9618.35,9746.4,0.0
2011-10-26,9574.54,9607.29,9523.7,9546.6,0.0
2011-11-03,9743.85,9814.65,9648.65,9782.5,0.0
2011-11-09,9896.15,9896.15,9565.1,9592.65,0.0
2011-11-17,9049.29,9124.9,8899.65,8930.9,0.0
2011-11-24,8412.54,8504.4,8276.75,8472.5,0.0
2011-12-01,8872.79,9033.85,8821.5,8895.29,0.0
2011-12-08,9126.45,9153.4,8871.25,8915.7,0.0
2011-12-15,8449.45,8509.5,8375.65,8445.1,0.0
2011-12-22,8106.2,8415.7,8064.15,8384.65,0.0
2011-12-29,8050.3,8137.4,7986.75,8027.4,0.0
2012-01-05,8421.5,8516.15,8394.25,8454.9,0.0
2012-01-12,8831.45,9015.25,8830.25,8930.25,0.0
2012-01-19,9106.79,9212.85,9106.79,9199.4,0.0
2012-01-25,9871.95,9905.5,9762.5,9856.6,0.0
2012-02-02,10012.95,10090.2,9776.54,9992.04,0.0
2012-02-09,10267.25,10546.4,10267.25,10507.6,0.0
2012-02-16,10896.05,10940.8,10780.05,10921.9,0.0
2012-02-23,10693.75,10852.65,10621.8,10713.35,0.0
2012-03-01,10385.15,10385.15,10160.25,10288.9,0.0
2012-03-07,10030.25,10169.45,9939.95,10132.85,0.0
2012-03-15,10894.45,10894.45,10556.4,10595.0,0.0
2012-03-22,10525.0,10583.75,10135.85,10173.54,0.0
2012-03-29,9859.25,9988.54,9845.4,9927.65,0.0
2012-04-04,10345.15,10371.85,10267.95,10340.1,0.0
2012-04-12,10250.7,10432.79,10250.7,10400.7,0.0
2012-04-19,10536.95,10594.9,10438.65,10567.9,0.0
2012-04-26,10171.85,10193.9,10083.5,10128.0,0.0
2012-05-03,10231.7,10255.85,10100.25,10126.54,0.0
2012-05-10,9411.75,9580.4,9362.1,9410.9,0.0
2012-05-17,9199.5,9328.5,9113.65,9154.2,0.0
2012-05-24,9277.25,9463.7,9198.75,9437.6,0.0
2012-05-31,9414.35,9479.35,9360.04,9441.0,0.0
2012-06-07,9830.5,9974.7,9787.95,9950.9,0.0
2012-06-14,10073.5,10096.75,9813.65,9836.95,0.0
2012-06-21,9795.95,10046.9,9769.29,10033.65,0.0
2012-06-28,10023.9,10052.2,9950.1,10003.85,0.0
2012-07-05,10520.05,10651.2,10468.75,10641.9,0.0
2012-07-12,10640.15,10676.0,10557.35,10616.3,0.0
2012-07-19,10684.4,10708.6,10606.6,10622.05,0.0
2012-07-26,10306.5,10314.04,10056.15,10083.79,0.0
2012-08-02,10408.95,10417.5,10310.85,10379.6,0.0
2012-08-09,10572.4,10614.2,10425.15,10445.9,0.0
2012-08-16,10537.95,10551.05,10405.7,10426.75,0.0
2012-08-23,10508.75,10560.85,10413.29,10457.7,0.0
2012-08-30,9978.2,10130.9,9959.04,10085.2,0.0
2012-09-06,9846.54,9947.45,9831.35,9893.15,0.0
2012-09-13,10213.85,10259.4,10171.25,10207.79,0.0
2012-09-20,10907.7,11031.8,10887.0,10920.8,0.0
2012-09-27,11466.25,11490.25,11378.35,11419.45,0.0
2012-10-04,11460.15,11685.55,11460.15,11636.05,0.0
2012-10-11,11334.9,11476.95,11244.7,11431.3,0.0
2012-10-18,11406.45,11594.6,11364.2,11586.35,0.0
2012-10-25,11542.3,11643.4,11542.3,11614.5,0.0
2012-11-01,11266.5,11349.4,11230.2,11315.05,0.0
2012-11-08,11561.35,11637.95,11533.3,11613.55,0.0
2012-11-15,11493.1,11530.25,11419.05,11521.4,0.0
2012-11-22,11497.35,11570.85,11495.05,11508.35,0.0
2012-11-29,11706.9,12035.4,11703.25,11992.8,0.0
2012-12-06,12358.35,12480.6,12142.6,12427.55,0.0
2012-12-13,12337.35,12438.85,12251.05,12269.15,0.0
2012-12-20,12514.6,12514.6,12385.1,12486.5,0.0
2012-12-27,12516.05,12523.5,12436.65,12459.7,0.0
2013-01-03,12828.3,12837.8,12722.45,12778.15,0.0
2013-01-10,12775.25,12822.8,12697.75,12802.25,0.0
2013-01-17,12608.85,12714.6,12583.35,12649.6,0.0
2013-01-24,12624.45,12662.85,12534.25,12561.4,0.0
2013-01-31,12741.3,12852.5,12688.75,12708.6,0.0
2013-02-07,12372.5,12474.5,12305.45,12349.3,0.0
2013-02-14,12400.65,12434.0,12284.5,12311.3,0.0
2013-02-21,12295.15,12301.25,12036.45,12055.5,0.0
2013-02-28,12007.0,12041.45,11401.2,11487.35,0.0
2013-03-07,11829.2,11989.85,11819.6,11970.25,0.0
2013-03-14,11772.45,12058.55,11555.45,12020.75,0.0
2013-03-21,11285.65,11512.1,11209.65,11238.35,0.0
2013-03-28,11188.95,11413.25,11080.05,11361.85,0.0
2013-04-04,11243.2,11254.25,11105.1,11126.25,0.0
2013-04-11,11220.5,11341.85,11154.05,11306.5,0.0
2013-04-18,11902.55,12313.0,11891.95,12288.25,0.0
2013-04-25,12632.25,12755.8,12611.5,12726.85,0.0
2013-05-02,12554.7,12783.3,12552.85,12709.95,0.0
2013-05-09,12663.75,12718.9,12541.8,12596.3,0.0
2013-05-16,13022.25,13281.8,13022.25,13239.45,0.0
2013-05-23,12907.9,12944.0,12594.9,12636.5,0.0
2013-05-30,12738.15,12829.55,12721.45,12805.9,0.0
2013-06-06,12225.35,12475.05,12184.05,12398.4,0.0
2013-06-13,11693.9,11793.3,11656.9,11686.75,0.0
2013-06-20,11677.35,11677.35,11347.55,11375.4,0.0
2013-06-27,11225.5,11277.05,11164.75,11235.75,0.0
2013-07-04,11389.65,11454.3,11273.6,11381.2,0.0
2013-07-11,11541.95,11710.45,11541.95,11655.3,0.0
2013-07-18,11033.5,11236.85,10837.75,11187.7,0.0
2013-07-25,10667.05,10772.7,10594.6,10614.0,0.0
2013-08-01,10130.1,10219.4,9867.6,10142.95,0.0
2013-08-08,9780.54,9909.75,9724.79,9816.4,0.0
2013-08-14,10010.15,10071.25,9912.35,10026.4,0.0
2013-08-22,9194.85,9373.79,9005.25,9268.9,0.0
2013-08-29,8897.0,8958.35,8759.85,8904.6,0.0
2013-09-05,9253.45,9704.6,9253.45,9682.4,0.0
2013-09-12,10338.29,10358.25,10070.95,10158.54,0.0
2013-09-19,10984.5,11219.45,10984.5,11148.65,0.0
2013-09-26,10091.4,10189.4,10051.2,10098.25,0.0
2013-10-03,9946.29,10241.45,9888.7,10222.95,0.0
2013-10-10,10309.2,10372.04,10199.54,10288.95,0.0
2013-10-17,10406.04,10416.2,10274.35,10336.54,0.0
2013-10-24,10839.45,11091.6,10839.45,10902.45,0.0
2013-10-31,11211.3,11512.5,11170.05,11473.15,0.0
2013-11-07,11320.85,11398.6,11024.75,11054.9,0.0
2013-11-14,10660.65,10891.9,10660.65,10811.2,0.0
2013-11-21,10866.3,10866.3,10657.85,10706.9,0.0
2013-11-28,10994.25,11062.15,10843.0,10906.75,0.0
2013-12-05,11469.35,11685.55,11469.35,11665.1,0.0
2013-12-12,11736.25,11781.7,11622.7,11635.5,0.0
2013-12-19,11505.55,11505.55,11040.15,11087.45,0.0
2013-12-26,11335.8,11426.45,11317.45,11385.75,0.0
2014-01-02,11383.8,11578.9,11150.2,11183.2,0.0
2014-01-09,11068.9,11090.25,10925.15,10970.45,0.0
2014-01-16,11187.35,11192.8,11070.0,11092.55,0.0
2014-01-23,11183.75,11221.1,11122.35,11199.0,0.0
2014-01-30,10287.85,10314.25,10101.2,10153.15,0.0
2014-02-06,10257.1,10321.5,10107.79,10205.2,0.0
2014-02-13,10360.7,10386.65,10113.79,10135.7,0.0
2014-02-20,10515.3,10525.7,10419.1,10428.29,0.0
2014-02-26,10659.2,10758.65,10659.2,10730.4,0.0
2014-03-06,11147.6,11303.2,11117.25,11278.35,0.0
2014-03-13,12062.35,12308.7,12062.35,12141.45,0.0
2014-03-20,12160.65,12160.65,11989.95,12017.25,0.0
2014-03-27,12560.9,12767.5,12513.1,12604.95,0.0
2014-04-03,12749.85,12754.75,12518.0,12563.85,0.0
2014-04-10,12937.4,13055.6,12881.2,12949.4,0.0
2014-04-17,12564.55,12819.1,12514.8,12787.25,0.0
2014-04-23,12961.35,13176.05,12957.9,13122.1,0.0
2014-04-30,12946.1,13100.75,12738.6,12855.85,0.0
2014-05-08,12982.75,13095.5,12952.5,13037.4,0.0
2014-05-15,14186.1,14301.3,14159.1,14236.55,0.0
2014-05-22,15009.9,15204.45,14938.25,15055.55,0.0
2014-05-29,15169.25,15254.5,15007.5,15030.3,0.0
2014-06-05,15250.6,15337.15,15152.4,15282.15,0.0
2014-06-12,15456.25,15518.75,15293.4,15464.85,0.0
2014-06-19,15282.05,15332.75,14976.15,15067.4,0.0
2014-06-26,15247.1,15333.25,15020.65,15050.0,0.0
2014-07-03,15512.75,15554.7,15431.5,15451.65,0.0
2014-07-10,14940.0,15371.05,14621.95,14821.7,0.0
2014-07-17,15258.95,15301.95,15156.0,15269.05,0.0
2014-07-24,15471.35,15559.1,15410.2,15534.35,0.0
2014-07-31,15447.9,15499.5,15233.0,15267.6,0.0
2014-08-07,15004.85,15135.1,14956.85,14986.85,0.0
2014-08-14,14954.2,15144.75,14940.3,15089.65,0.0
2014-08-21,15475.5,15721.95,15462.5,15662.2,0.0
2014-08-28,15758.05,15794.6,15688.15,15740.4,0.0
2014-09-04,16102.9,16114.75,15926.65,16033.55,0.0
2014-09-11,16197.3,16309.7,16166.85,16204.15,0.0
2014-09-18,15778.75,16173.8,15770.8,16156.85,0.0
2014-09-25,15690.5,15734.1,15213.35,15299.05,0.0
2014-10-01,15370.7,15377.6,15270.95,15316.2,0.0
2014-10-09,15434.35,15795.65,15434.35,15741.2,0.0
2014-10-16,15690.35,15836.15,15477.05,15541.6,0.0
2014-10-23,16508.4,16524.9,16444.05,16470.05,0.0
2014-10-30,16606.5,16776.34,16561.34,16760.05,0.0
2014-11-05,17201.45,17425.2,17157.8,17352.95,0.0
2014-11-13,17645.3,17651.0,17389.65,17453.0,0.0
2014-11-20,17649.34,17681.8,17546.7,17645.05,0.0
2014-11-27,17988.7,18054.65,17898.4,18022.5,0.0
2014-12-04,18758.8,18793.15,18575.34,18782.84,0.0
2014-12-11,18427.5,18529.65,18218.4,18405.0,0.0
2014-12-18,18238.0,18356.3,18109.34,18326.59,0.0
2014-12-24,18582.75,18709.15,18493.3,18535.34,0.0
2015-01-01,18728.2,18781.55,18638.84,18750.45,0.0
2015-01-08,18587.09,18752.3,18486.2,18701.4,0.0
2015-01-15,19340.45,19410.4,19061.34,19235.65,0.0
2015-01-22,19898.5,19964.25,19788.7,19917.65,0.0
2015-01-29,20475.7,20579.0,20338.95,20528.59,0.0
2015-02-05,19174.0,19444.65,18977.9,19051.9,0.0
2015-02-12,18940.8,19176.8,18739.85,19128.6,0.0
2015-02-19,19296.5,19377.45,18876.25,19188.3,0.0
2015-02-26,18733.05,18795.1,18489.6,18538.1,0.0
2015-03-05,19643.9,19830.35,19398.75,19748.0,0.0
2015-03-12,19044.0,19255.9,19044.0,19141.85,0.0
2015-03-19,19147.25,19373.45,18739.85,18811.15,0.0
2015-03-26,18310.1,18310.1,17733.6,17831.65,0.0
2015-04-01,18206.65,18668.85,18131.4,18617.85,0.0
2015-04-09,18523.35,18894.75,18401.45,18875.85,0.0
2015-04-16,18731.65,18731.65,18504.7,18637.05,0.0
2015-04-23,18350.35,18433.8,18143.75,18245.6,0.0
2015-04-30,18318.85,18430.05,18163.9,18338.1,0.0
2015-05-07,17751.4,17751.4,17246.55,17376.9,0.0
2015-05-14,18071.0,18156.95,17806.1,18116.2,0.0
2015-05-21,18593.85,18603.8,18398.65,18513.15,0.0
2015-05-28,18562.75,18639.65,18381.75,18449.2,0.0
2015-06-04,17634.35,17777.9,17469.65,17719.2,0.0
2015-06-11,17819.6,17821.9,17264.2,17304.4,0.0
2015-06-18,17661.9,17797.35,17630.65,17733.55,0.0
